OBJECTID,ORGN,DSTN,SHAPE_Length
1013,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, EASTERN BLVD)",35622.2262253231
1014,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA BORCHERDS QUARRY & N2),33211.6305331679
1015,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA SAMORA MACHEL, VANGUARD, N2)",34846.350647839
1016,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (HIGHLANDS DR, VANGUARD, N2)",34438.0845994917
1017,KHAYELITSHA SITE C,PLATTEKLOOF,33361.5317889356
1018,RETREAT,"ATHLONE (VIA M5, OTTERY RD, ROSMEAD, MILNER & KLIPFONTEIN)",20081.9403473156
1019,KHAYELITSH SITE C,PANORAMA,29132.0911072769
1020,LWANDLE,SOMERSET WEST MALL,10206.228566597
1021,LWANDLE,HELDERVUE (SOMERSET WES),14225.840432435
1022,LWANDLE,SOMERSET WEST,7665.28479069588
1023,LWANDLE,KOGGELBAAI,30981.8082122088
1024,KHAYELITSH SITE C,MONTE VISTA,32555.4640591204
1025,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MOWBRAY),32969.2539797694
1026,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, LIESBEECK PRKWY, STATION RD, MAIN RD)",35829.5609045985
1027,KHAYELITSHA SITE C,KILLARNEY,33800.1400228258
1028,GUGULETU,MOWBRAY,13002.3103265359
1029,YSTERPLAAT RAILWAY STATION,MONTAGUE GARDENS,11070.1525257573
1030,YSTERPLAAT RAILWAY STATION,FRANKDALE,41310.2145943556
1031,YSTERPLAAT RAILWAY STATION,SANDRIF,7184.82315724376
1032,YSTERPLAAT RAILWAY STATION,MILNERTON,8562.2151172333
1033,YSTERPLAAT RAILWAY STATION,CAMBRIDGE,5643.85407264545
1034,YSTERPLAAT RAILWAY STATION,MONTAGUE GARDENS (VIA SANDRIF),14375.5726912074
1035,KALKFONTEIN,SHOPRITE KUILSRIVER,7614.37055421883
1036,VREDENDAL,CAPE TOWN,147689.23157517
1037,STELLENBOSCH (DU TOIT STATION),BELLVILLE,31402.7054680422
1038,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MERRYDALE),38055.3108914467
1039,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, EASTERN BLVD)",34605.5141304844
1040,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA BORCHERDS QUARRY & N2),33211.6305331679
1041,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA SAMORA MACHEL, VANGUARD, N2)",34846.350647839
1042,GUGULETU,CLAREMONT,15556.5926174848
1043,PHILIPPI,ATHLONE,14573.9136427061
1044,PHILIPPI,MOWBRAY,18592.6189862923
1045,PHILIPPI,CAPE TOWN,27025.5134671147
1046,DU NOON,BELLVILLE,22242.4258379596
1047,WYNBERG,HOUT BAY,22834.3755638631
1048,BELLVILLE,DU NOON,22496.3283146056
1049,LWANDLE,SIR LOWRY'S PASS,7241.72857469224
1050,SAMORA MACHEL,CAPE TOWN,25325.276647032
1051,KRAAIFONTEIN,SCOTTSVILLE  - BRACKENFELL,12072.4356389286
1052,BLOEKOMBOS,BELLVILLE (VIA WALLACEDENE),42404.1261787722
1053,NORTHPINE,BELLVILLE,21029.8715959526
1054,BLOEKOMBOS,SCOTTSVILLE,11501.188983937
1055,SCOTTSVILLE,BELLVILLE,12936.8869832213
1056,SCOTTSVILLE,SCOTTSDENE,9446.10789377881
1057,BRACKENFELL STATION,DURBANVILLE,16366.3319475934
1058,NORTHPINE,CAPE GATE (VIA PROTEA HEIGHTS),23032.2643672138
1059,SCOTTSDENE,CAPE GATE,5714.27131663777
1060,NORTHPINE,CAPE GATE,3764.71111290657
1061,EIKENFONTEIN,CAPE GATE,4833.45948528769
1062,SCOTTSVILLE,CAPE GATE,3152.4019030522
1063,BLOEKOMBOS,CAPE GATE,8036.29839013153
1064,WALLACEDENE,CAPE GATE,6969.11308209114
1065,KRAAIFONTEIN,CAPE GATE,7230.61202592403
1066,BLOEKOMBOS,CAPE GATE (VIA MAROELA RD & N1),10610.7955428583
1067,KHAYELITSHA,PANORAMA (VIA ELSIES RIVER),47974.7802421118
1068,BELLVILLE,CAPE TOWN,24064.1965644809
1069,LANGA,VANGATE MALL,2986.37278975918
1070,BONTEHEUWEL,VANGATE MALL,6793.66534070072
1071,PHILIPPI,VANGATE MALL,11735.106019866
1072,NYANGA,VANGATE MALL,8616.66712638918
1073,GUGULETU,VANGATE MALL,6208.93867566031
1074,GUGULETU,VANGATE MALL,6208.93867566031
1075,SAMORA MACHEL,VANGATE MALL,12281.7706172191
1076,HANOVER PARK,VANGATE MALL (VIA BELGRAVIA RD),9266.28456194233
1077,HANOVER PARK,VANGATE MALL (VIA NEWFIELDS),5658.65059596884
1078,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR),6438.24282864742
1079,BONTEHEUWEL,VANGATE MALL,6793.66534070072
1080,HEIDEVELD,VANGATE MALL (VIA HEIDEVELD),4653.09428086449
1081,HEIDEVELD,VANGATE MALL (VIA DEVILS PEAK RD & KLIPFONTEIN RD),4022.58862184154
1082,HEIDEVELD,VANGATE MALL (VIA HEIDEVELD & 5TH AVENUE),5752.1292562977
1083,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR),6438.24282864742
1084,KHAYELITSHA SITE C,VANGATE MALL (VIA N2),17268.2052369849
1085,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR),6438.24282864742
1086,HANOVER PARK,VANGATE MALL (VIA NEWFIELDS),5658.65059596884
1087,ATHLONE,VANGATE MALL (VIA BRIDGETOWN),5323.79509393588
1088,ATHLONE,VANGATE MALL (VIA BRIDGETOWN),5616.80271663225
1089,LEIDEN DELFT,CAPE TOWN (VIA N2 & MAIN RD),35695.9553614135
1090,FEZEKA,MITCHELL'S PLAIN,12775.0587901897
1091,SAMORA MACHEL,MITCHELL'S PLAIN,10141.3541942031
1092,LWANDLE,HELDERBERG (VIA HELDERVUE),31457.6746623216
1093,PHILIPPI STATION TRANSPORT INTERCHANGE,MITCHELLS PLAIN,15185.9113404092
1094,NYANGA STATION PUBLIC TRANSPORT INTERCHANGE,MITCHELLS PLAIN (VIA FEZEKA),14626.9089993502
1095,ATHLONE,BRIDGETOWN (VIA VANGATE MALL),5731.91012190692
1096,IMIZAMO YETHU,HOUT BAY DAY HOSPITAL,5161.02396613028
1097,IMIZAMO YETHU,SHOPRITE HOUT BAY,3430.98290546641
1098,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",41378.5952276821
1099,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1 & DURBAN RD)",41312.7631165913
1100,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",43577.594394554
1101,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)",43511.7622834632
1102,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",60994.1873540859
1103,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)",60928.3552429951
1104,MACASSAR,SOMERSET WEST,23318.4201366018
1105,MFULENI,TYGERBERG RAILWAY STATION (VIA ELSIES RIVER & PAROW),33199.945592487
1106,MFULENI,ELSIES RIVER,24678.3826244008
1107,LWANDLE,SOMERSET WEST,7813.43692762586
1108,LWANDLE,SOMERSET WEST RAILWAY STATION,6939.23712820745
1109,LWANDLE,SIR LOWRYS PASS,7629.27976367375
1110,MAITLAND STATION,KILLARNEY & DU NOON (VIA N1 & N7),21372.123798068
1111,MAITLAND STATION,SUMMER GREENS(VIA N1 FREEWAY),12687.4113426474
1112,MAITLAND STATION,SUMMER GREENS (VIA SANDRIFT),12399.0530613139
1113,MAITLAND STATION,"WEST BEACH, SUNNINGDALE & PARKLANDS",28593.1355603788
1114,MAITLAND STATION,KILLARNAY & DU NOON (VIA KOEBERG ROAD),18343.7824839885
1115,MAITLAND STATION,MILNERTON RIDGE (VIA ASCOT VILLAGE),13125.2735291646
1116,MAITLAND STATION,PARKLANDS (VIA KOEBERG ROAD),22403.6458281629
1117,LANGA,CAPE TOWN,14549.0439509061
1118,LANGA,CENTURY CITY,16158.5834522314
1119,WYNBERG,HOUT BAY (VIA VICTORIA HOSPITAL),21839.8162028077
1120,SUBURBAN BLISS,TYGERBERG STATION (VIA TYGERBERG HOSPITAL),24282.7948608027
1121,MUTUAL STATION,RICHWOOD,25263.8037647529
1122,MUTUAL STATION,BOTHASIG,19945.0883520892
1123,ROOSENDAL,BELLVILLE,13104.0416330554
1124,KOEBERG STATION,PARKLANDS,18443.6478752002
1125,KOEBERG STATION,PARKLANDS,21374.6412840304
1126,KOEBERG STATION,PARKLANDS,18662.8393195405
1127,KOEBERG STATION,PARKLANDS,18919.4312586728
1128,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, DUINEFONTEIN & PHILLIPPI RING RD)",29582.1285932846
1129,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, LANSDOWNE, JAN SMUTS DR & TURFHALL)",27197.9845538844
1130,MITCHELLS PLAIN,"CLAREMONT (VIA ROCKLANDS, WESTGATE MALL, OLD LANSDOWNE, HEINS & TURFHALL)",30330.602975431
1131,NYANGA,PAROW,18145.873097796
1132,NYANGA,TYGERBERG STATION (VIA TYGERBERG HOSPITAL),23552.4491569582
1133,NYANGA,ELSIES RIVER,20010.9950104541
1134,MACASSAR,EERSTE RIVIER STASIE,13561.3490806528
1135,MACASSAR,SOMERSET WEST,19950.3438329623
1136,MACASSAR,SOMERSET WEST,21749.5487903027
1137,MELKBOSSTRAND,ATLANTIS,33060.6648665914
1138,CAPE TOWN,KOEBERG STATION,7008.246672449
1139,SANDRIFT,KOEBERG STATION,8601.49172770126
1140,MONTAGUE GARDENS,KOEBERG STATION,11669.3171820269
1141,MILNERTON,KOEBERG STATION,10303.5822437876
1142,CAMBRIDGE,KOEBERG STATION,7400.58279266225
1143,KOEBERG STATION,TABLEVIEW,21844.8712990929
1144,CAPE TOWN,MAMRE (VIA KILLARNEY),79594.937303971
1145,MAITLAND,KILLARNEY,18218.3762577778
1146,TABLEVIEW,YSTERPLAAT,20453.0680237747
1147,KILLARNEY,MAITLAND,14136.1752754353
1148,KILLARNEY,MAITLAND,14136.1752754353
1149,TABLE VIEW,DU NOON,9511.03430916796
1150,DU NOON,TABLEVIEW,9496.75859838547
1151,TABLE VIEW,DU NOON,8535.65833625625
1152,DU NOON,TABLEVIEW,8521.38262547376
1153,TABLE VIEW,MORNINGSTAR,17914.9727608333
1154,MORNINGSTAR,TABLEVIEW,17926.3916593003
1155,CAPE TOWN,TABLEVIEW (VIA SUMMER GREENS & MONTAGUE GARDENS),28703.5646976992
1156,KOEBERG STATION,TABLEVIEW,18076.9943107558
1157,YSTERPLAAT STATION,TABLEVIEW,16333.3359057348
1158,KOEBERG STATION,TABLEVIEW (VIA N1 & MONTAGUE GARDENS),22103.0561209723
1159,KOBERG STATION,TABLEVIEW (VIA RACECOURSE),16094.1636253815
1160,KOBERG STATION,TABLEVIEW (VIA LOXTON ROAD),15817.7071723056
1161,KOBERG STATION,TABLEVIEW (VIA BOUNDARY ROAD),16218.0996496611
1162,KILLARNEY,KOEBERG RAILWAY STATION,15188.8364998003
1163,KOEBERG STATION,KILLARNEY,15298.7655255074
1164,CAPE TOWN,KILLARNEY (VIA SUMMER GREENS & MONTAGUE GARDENS),25982.0468780964
1165,KOEBERG STATION,KILLARNEY,25569.7401161988
1166,YSTERPLAAT,KILLARNEY,20858.5584727029
1167,YSTERPLAAT,KILLARNEY,14894.2821004751
1168,KOEBEGR STATION,KILLARNEY,15749.8951143949
1169,KILLARNEY,DU NOON,3958.91356375278
1170,DE NOON,KILLARNEY,3929.47928248714
1171,KOBERG STATION,"KILLARNEY (VIA N1, N7 & MONTAGUE GARDENS)",18256.0530832213
1172,MORNINGSTAR,KILLARNEY,18558.909442295
1173,KOEBERG STATION,DOLPHIN BEACH,22293.7925949614
1174,SUMMERGREENS,KOEBERG STATION,10918.8246978654
1175,KILLARNEY,KOEBERG STATION,13975.4861107406
1176,PAARDEN EILAND,KOEBERG STATION,8531.16073019815
1177,YSTERPLAAT STATION,KOEBERG STATION,2698.40520837269
1178,MONTAGUE GARDENS,KOEBERG STATION,13744.4150205036
1179,MELKBOSSTRAND,KOEBERG STATION,46690.9049309822
1180,KOBERG STATION,MONTAGUE GARDENS,12865.9810129559
1181,BOTHASIG,DU NOON,13429.2591371004
1182,MAITLAND STATION,DU NOON,17317.7539382973
1183,TABLEVIEW BAYSIDE CENTRE,KOEBERG STATION,18010.9239992041
1184,TABLEVIEW BAYSIDE CENTRE,KEOBERG STATION,18010.9239992041
1185,TABLEVIEW BAYSIDE CENTRE,GOODWOOD STATION,19874.4024396249
1186,MONTAGUE GARDENS,GOODWOOD STATION,18225.4200527876
1187,KILLARNEY,KHAYELITSHA (VIA MAITLAND & GOODWOOD),50894.3391969779
1188,MONTAGUE GARDENS,DU NOON,9575.87549962548
1189,JOE SLOVO PARK,DU NOON,11803.2018860824
1190,GOODWOOD,RATANGA JUNCTION,9889.70499212587
1191,GOODWOOD,RATANGA JUNCTION (VIA SUMMER GREENS & MONTAGUE GARDENS),18421.2761400499
1192,MAITLAND,YSTERPLAAT,2763.61667669405
1193,PARKLANDS,YSTERPLAAT,18020.9587796588
1194,MONTAGUE GARDENS,YSTERPLAAT,10207.8740165982
1195,METRO INDUSTRY (PAARDEN EILAND),YSTERPLAAT,4723.84200919406
1196,KILLARNEY,YSTERPLAAT,13350.9285870061
1197,CAPE TOWN,DU NOON,21555.133534524
1198,SUMMER GREENS,DU NOON,11182.010312609
1199,PARKLANDS,DU NOON,12254.0195946179
1200,KILLARNEY,GUGULETU,24474.4129269766
1201,DU NOON,BELLVILLE,26242.5859814575
1202,MONTAGUE GARDENS,CAPE TOWN STATION (VIA SANDRIFT),17703.8557153608
1203,CAPE TOWN (STATION DECK),MILNERTON,15141.3323105358
1204,CAPE TOWN STATION,DU NOON,22649.3346362475
1205,SUMMERGREENS,CAPE TOWN STATION,19041.4123636623
1206,CAMBRIDGE,CAPE TOWN STATION,13377.8638849728
1207,TABLEVIEW,YSTERPLAAT,27001.3649642174
1208,MONTAGUE GARDENS,YSTERPLAAT,18073.7419430428
1209,SANDRIFT,YSTERPLAAT,10909.5274093718
1210,MILNERTON,YSTERPLAAT,12146.3277534338
1211,CAMBRIDGE,YSTERPLAAT,9155.75860170378
1212,MONTAGUE GARDENS,YSTERPLAAT (VIA SANDRIFT),15045.6364838324
1213,CAPE TOWN,YSTERPLAAT,9413.06466181802
1214,DU NOON,MAITLAND,19497.0605079381
1215,KILLARNEY,MAITLAND,18002.62365097
1216,MELKBOSSTRAND,CAPE TOWN,27808.7836395022
1217,MILNERTON,CAPE TOWN,12373.1387715079
1218,SUMMER GREENS,MAITLAND,14462.5231161478
1219,SUMMER GREENS,MAITLAND,12207.9996939059
1220,PARKLANDS,MAITLAND,19403.769341544
1221,DU NOON,MAITLAND,18221.2510034265
1222,MILNERTON RIDGE,MAITLAND,13768.0920369134
1223,PARKLANDS,MAITLAND,18350.4543574617
1224,YSTERPLAAT,SUMMER GREENS,11725.965548424
1225,SUMMER GREENS,YSTERPLAAT,11687.0499681469
1226,KOEBERG STATION,MILNERTON,10590.1867234617
1227,MILNERTON,KOEBERG STATION,11132.8198960828
1228,YSTERPLAAT,TABLEVIEW,17122.5728508251
1229,TABLEVIEW,YSTERPLAAT,17251.5740717758
1230,YSTERPLAAT,METRO,5695.77246206616
1231,METRO,YSTERPLAAT,5730.4366697528
1232,TABLEVIEW,YSTERPLAAT,28001.2912319557
1233,KOEBERG STATION,PARKLANDS,22653.2677662592
1234,PARKLANDS,KOEBERG STATION,24376.198465408
1235,KOEBERG STATION,PARKLANDS,13521.9302660283
1236,PARKLANDS,KOEBERG STATION,13375.0442570786
1237,KOEBERG STATION,PARKLANDS,16641.6010755386
1238,PARKLANDS,KOEBERG STATION,16500.1957014216
1239,KOEBERG STATION,PARKLANDS,22818.2094981163
1240,PARKLANDS,KOEBERG STATION,22592.6116555732
1241,KOEBERG STATION,PARKLANDS,26912.1816606518
1242,PARKLANDS,KOEBERG STATION,26664.8285611893
1243,KOEBERG STATION,PARKLANDS,18510.0941961434
1244,ATLANTIS,CAPE TOWN,60265.3774187843
1245,PELLA,CAPE TOWN,72082.6226961093
1246,NYANGA,KILLARNEY,73438.1301018631
1247,MAITLAND,KOEBERG POWER STATION/MELLKBOS,38146.4589396283
1248,PELLA,CAPE TOWN,69880.5562240408
1249,PELLA,MONTAGUE GARDENS,63144.956683885
1250,KOEBERG STATION,CAPE TOWN (VIA MELKBOS STRAND),90868.3725930514
1251,KOEBERG STATION,MELKBOSSTRAND,31573.5050541867
1252,KOEBERG,ATLANTIS (VIA TABLE VIEW),63616.8656451799
1253,MAMRE,KILLARNEY,56511.033725182
1254,YSTERPLAAT,KOEBERG POWER STATION,37711.760693832
1255,ATLANTIS,KILLARNEY,48310.6520041048
1256,KILLARNEY,KOEBERG POWER STATION,27538.8290676337
1257,TABLE VIEW,MELKBOS STRAND,23877.2103471328
1258,TABLE VIEW,MELKBOSSTRAND,15729.8790377954
1259,KILLARNEY,MELKBOSSTRAND,21954.9360850517
1260,KILLARNEY,MELKBOSSTRAND,19242.6357734957
1261,KOEBERG RAILWAY STATION,MELKBOSSTRAND,39667.4177683185
1262,DU NOON,TABLE VIEW - MELKBOSSTRAND,21922.3235893614
1263,DU NOON,TABLE VIEW - MELKBOSSTRAND,46249.2443030829
1264,SAMORA MACHEL,MELKBOSSTRAND - KILLARNEY,76043.548518098
1265,GUGULETU,KILLARNEY (VIA MELKBOSSTRAND),71815.1726598901
1266,GUGULETU,KILLARNEY,82476.0097438666
1267,SURBURBAN BLISS,KILLARNEY,85333.5556869697
1268,CAPE TOWN (STATION DECK),KOEBERG POWER STATION,46364.0759279763
1269,CAPE TOWN (STATION DECK),TABLE VIEW - MELKBOSSTRAND,36094.9716462052
1270,KHAYELITSHA SITE C,MELKBOS,52518.659494942
1271,YSTERPLAAT RAILWAY STATION,KOEBERG POWER STATION,37233.8847599384
1272,PHILIPPI,KILLARNEY (VIA MELKBOSSTRAND),77189.1851207511
1273,YSTERPLAAT,CAPE TOWN (VIA MELKBOSSTRAND),90142.1260491016
1274,MFULENI,"KILLARNEY (VIA PLATTEKLOOF, BLAAUWBERG, MELKBOSSTRAND, POTSDAM)",467.426898953337
1275,MFULENI,"KILLARNEY (VIA PLATTEKLOOF, BLAAUWBERG, MELKBOSSTRAND, POTSDAM)",84008.5955997054
1276,MAITLAND STATION,3RD STEEN BIG BAY (VIA PAARDEN EILAND),24356.7560800319
1277,KILLARNEY,NYANGA,73902.1555080479
1278,KILLARNEY,KHAYELITSHA (VIA MELKBOSSTRAND),110255.179800985
1279,KOEBERG POWER STATION,MAITLAND,44427.5287412146
1280,CAPE TOWN,PELLA,69814.666937539
1281,MONTAGUE GARDENS,PELLA,63145.1658678793
1282,MELKBOSSTRAND,KOEBERG STATION (VIA TABLEVIEW),37483.7705547382
1283,KILLARNEY,MAMRE,57600.9847872406
1284,KILLARNEY,WESFLEUR ATLANTIS,49895.3022124641
1285,KOEBERG POWER STATION,KILLARNEY,27110.7585267738
1286,MELKBOSSTRAND,TABLEVIEW,23387.2980268127
1287,MELKBOSSTRAND,TABLEVIEW,15647.2000448665
1288,MELKBOSSTRAND,KILLARNEY (VIA SANDOWN),21653.4086901636
1289,MELKBOSSTRAND,KILLARNEY,19281.1628594876
1290,MELKBOSSTRAND,DU NOON ( VIA TABLEVIEW),21870.7914281157
1291,KILLARNEY,SAMORA MACHEL (VIA MELKBOSSTRAND),76484.4921673381
1292,KILLARNEY,GUGULETU (VIA MELKBOSSTRAND),72211.3937190311
1293,CAPE TOWN (STATION DECK),MELKBOSSTRAND,64939.8091046106
1294,MELKBOSSTRAND,CAPE TOWN STATION (VIA TABLEVIEW),43880.9993446289
1295,KHAYELITSHA SITE C,BLAAUWBERG,54131.1825108964
1296,BLAAUWBERG,KHAYELITSHA SITE C,55325.6964353417
1297,KOEBERG POWER STATION,YSTERPLAAT,40370.2891716925
1298,KILLARNEY,PHILIPPI,77913.3512508302
1299,YSTERPLAAT,TABLE VIEW,27155.8726804465
1300,PAARDEN EILAND,BLAAUWBERG,22842.4384988925
1301,BLAAUWBERG,PAARDEN EILAND,22907.243917322
1302,YSTERPLAAT,TABLE VIEW,25970.1492190893
1303,MAITLAND,BLOUBERG STRAND,21431.4965576861
1304,BLOUBERGSTRAND,KOEBERG RAILWAY STATION,25951.084257059
1305,KOEBERG STATION,BLOUBERGSTRAND,26123.1817077203
1306,YSTERPLAAT RAILWAY STATION,TABLEVIEW,26366.4546955048
1307,YSTERPLAAT,TABLEVIEW,26222.8642963773
1308,ATLANTIS,MONTAGUE GARDENS,51566.8930509272
1309,ATLANTIS,CAPE TOWN,59416.054336676
1310,ATLANTIS,CAPE TOWN (VIA PAARDEN EILAND),63143.6576190659
1311,MAMRE,CAPE TOWN,67451.5261438776
1312,ATLANTIS,MONTAGUE GARDENS,54503.3401125274
1313,ATLANTIS,CAPE TOWN (STATION DECK),62292.6124266467
1314,ATLANTIS,CAPE TOWN (VIA PAARDEN EILAND),66123.501368897
1315,ATLANTIS(WESFLEUR),CAPE TOWN,62093.4511600879
1316,ATLANTIS(WESFLEUR),BELLVILLE,87032.8753709972
1317,TABLE VIEW,ATLANTIS,40836.2957504117
1318,MAMRE,MONTAGUE GARDENS,60347.5582138041
1319,WESFLEUR,KILLARNEY,45477.3924800371
1320,TABLE VIEW,ATLANTIS,44348.3350172543
1321,ATLANTIS(WESFLEUR),CENTURY CITY(RATANGA),61572.2661999711
1322,CAPE TOWN,ATLANTIS,60489.5234456293
1323,CAPE TOWN,PELLA,72223.7778661848
1324,ATLANTIS,KOEBERG STATION (VIA TABLEVIEW),67401.1259421683
1325,MONTAGUE GARDENS,WESFLEUR ATLANTIS,51556.781574715
1326,FRANKDALE,KOEBERG STATION,44649.2986845707
1327,CAPE TOWN,WESFLEUR ATLANTIS,59333.1567413543
1328,CAPE TOWN,WESFLEUR ATLANTIS (VIA PAARDEN EILAND),63174.8620853336
1329,CAPE TOWN,MAMRE,67368.6285485559
1330,MONTAGUE GARDENS,SAXONSEA ATLANTIS (VIA TABLEVIEW),54433.3396646856
1331,CAPE TOWN,SAXONSEA ATLANTIS,62209.714831325
1332,CAPE TOWN,SAXONSEA ATLANTIS (VIA PAARDEN EILAND),66081.1650529072
1333,CAPE TOWN,WESFLEUR ATLANTIS,62134.7064630119
1334,ATLANTIS,TABLEVIEW,40669.457067646
1335,MONTAGUE GARDENS,MAMRE,60337.4467375919
1336,CAPE TOWN,VREDENBURG,121150.09556623
1337,CAPE TOWN,LAMBERTSBAAI,121150.09556623
1338,VREDENBURG,CAPE TOWN,121233.322031775
1339,LAMBERTSBAAI,CAPE TOWN,121233.322031775
1340,KILLARNEY,WESFLEUR ATLANTIS,45426.4765746931
1341,ATLANTIS,TABLEVIEW,44309.2802786497
1342,LAMBERTSBAAI,CAPE TOWN,136609.956896157
1343,CAPE TOWN,LAMBERTSBAAI,136522.385109298
1344,LAMBERTSBAAI,CAPE TOWN,136609.956896157
1345,CAPE TOWN,LAMBERTSBAAI,136522.385109298
1346,SALDANHA,CAPE TOWN,121233.322031775
1347,CAPE TOWN,SALDANHA,121150.09556623
1348,CENTURY CITY,WESFLEUR ATLANTIS,61756.0503918379
1349,FRANKDALE,CAPE TOWN STATION,50283.1839132794
1350,KOEBERG POWER STATION,CAPE TOWN STATION,47569.7247702346
1351,FRANKDALE,YSTERPLAAT,47417.9775878764
1352,KOEBERG STATION,DU NOON,21977.256063518
1353,DU NOON,KOEBERG STATION,22496.7275845498
1354,KOEBERG STATION,"TABLEVIEW (VIA N1, N7 & PLATTEKLOOF)",25010.5776304717
1355,TABLEVIEW,"KOEBERG STATION (VIA PLATTEKLOOF, N7 & N1)",18485.1728097167
1356,KOEBERG STATION,GOODWOOD,15053.6638678678
1357,GOODWOOD,KOEBERG STATION,13353.4378321936
1358,KOEBERG STATION,GOODWOOD,15247.4358152667
1359,GOODWOOD,KOEBERG STATION,13598.1675829813
1360,KOEBERG STATION,MILNERTON,13521.9302660283
1361,MILNERTON,KOEBERG STATION,11067.9223957658
1362,KOEBERG STATION,MILNERTON,10605.7084037709
1363,MILNERTON,KOEBERG STATION,11389.7405031501
1364,STEENBERG,WESTLAKE - BLUE ROUTE,10837.9827616668
1365,KHAYELITSHA,KILLARNEY,109288.291947296
1366, , ,13944.9280850932
1367, , ,7525.87985636886
1368, , ,15879.9469686396
1369, , ,11464.2741388189
1370, , ,6251.8295179943
1371, , ,14015.0828639618
1372, , ,9437.32801257634
1373, , ,25715.3104707329
1374, , ,2866.11285241938
1375, , ,4480.30412655414
1376, , ,29111.9356901642
1377, , ,29046.1035790734
1378, , ,18702.4019458617
1379, , ,20540.6736707773
1380, , ,27945.332975783
1381, , ,27183.8523138521
1382, , ,24746.4096940313
1383, , ,19926.1723839269
1384,SURBURBAN BLISS,TYGERBERG STATION,22273.9200856489
1385,WESBANK,TYGERBERG,19892.334125996
1386,WESBANK,TYGERBERG STATION,15234.8039320988
1387,WESBANK,ELSIES RIVER,16529.7889946448
1388,WESBANK,CAPE TOWN STATION,32927.5607502269
1389,SHOPRITE KUILSRIVER,ZEVENWACHT MALL,8049.33924241752
1390,PHILIPPI,MITCHELL'S PLAIN,10337.1357298088
1391,PHILIPPI,MITCHELL'S PLAIN,9394.56502789124
1392,NYANGA,MITCHELL'S PLAIN,10878.7062639028
1393,NYANGA,MITCHELL'S PLAIN,17540.434353767
1394,GUGULETHU,MUTUAL,16065.7404850892
1395,GUGULETHU,BELLVILLE,50532.4379330139
1396,GUGULETHU,BELLVILLE,50435.374314819
1397,NYANGA,PHILIPPI,2926.19308465212
1398,SAMORA MACHEL,NYANGA JUNCTION,4575.98054125783
1399,BELLVILLE,LOWER CROSS ROADS,11382.2896074149
1400,NYANGA,MITCHELL'S PLAIN,10527.5023698253
1401,NYANGA,MITCHELL'S PLAIN,16409.7134862831
1402,NYANGA,MITCHELL'S PLAIN,14569.3489776309
1403,NYANGA,MITCHELL'S PLAIN,5500.32023803406
1404,NYANGA,MITCHELL'S PLAIN,14569.3489776309
1405,NYANGA,MITCHELL'S PLAIN,10625.4830981464
1406,NYANGA,NYANGA JUNCTION,3548.33646975836
1407,NYANGA,MITCHELL'S PLAIN,15612.2335509856
1408,NYANGA,MITCHELL'S PLAIN,12786.8002876982
1409,MELTON ROSE,ZEVENWACHT MALL,7215.48453544678
1410,NYANGA,MITCHELL'S PLAIN,14377.7264285118
1411,NYANGA,MITCHELL'S PLAIN,18777.2844391628
1412,NYANGA,MITCHELL'S PLAIN,14523.5061941953
1413,WALLACEDENE,BRACKENFELL,7249.48256342957
1414,KOEBERG STATION,MONTAGUE GARDENS,24199.5128173768
1415,MITCHELL'S PLAIN,MITCHELL'S PLAIN,6179.18169156403
1416,WESTLAKE,WYNBERG (CONSTANTIA),16260.353347449
1417,NYANGA,CENTURY CITY (VIA BOSMANSDAM ROAD),23777.3073699778
1418,NYANGA,CENTURY CITY (VIA N1 - SABLE ROAD),22957.8905867552
1419,NYANGA,KILLARNEY,27528.5184871967
