OBJECTID,ORGN,DSTN,SHAPE_Length
680,BRENTWOOD PARK,KUILSRIVER,16773.8730718072
681,BRENTWOOD PARK,BELLVILLE,15684.6483020843
682,DELFT SOUTH,CAPE TOWN,35443.6658305646
683,UNIBELL,DELFT SOUTH,12520.3860317413
684,SAMORA MACHEL,CAPE TOWN,25615.1434658565
685,NORWOOD,ELSIES RIVER,4835.43908415447
686,KHAYELITSHA (KUWAIT),MITCHELLS PLAIN,9993.34403236342
687,KHAYELITSHA (KUWAIT),MITCHELLS PLAIN,12320.1894696642
688,KHAYELITSHA (SITE B),MITCHELLS PLAIN,9114.71437546527
689,KHAYELITSHA (MAKHAZA),MITCHELLS PLAIN,13329.7603092725
690,KHAYELITSHA (TOWN 2),MITCHELLS PLAIN,10871.583374485
691,KHAYELITSHA (LUZUKO RANK),MITCHELLS PLAIN,9979.19207898472
692,KHAYELITSHA (HARARE),MITCHELLS PLAIN,8257.83002292736
693,KHAYELITSHA (MAKAYA),MITCHELLS PLAIN,12119.9356707948
694,LANGA,CAPE TOWN,15135.6211593699
695,OCEAN VIEW,KOMMETJIE,4343.66708644714
696,KHAYELITSHA,TABLE VIEW,42436.878441846
697,KUWAIT,HARARE,23992.2924857956
698,KUWAIT,MAKHAZA,23533.1593353717
699,KUWAIT,MAKHAZA,13859.6223265629
700,KRAAIFONTEIN,WALLACEDENE,4734.54411855299
701,KRAAIFONTEIN,BLOEKOMBOS,5476.85264117935
702,KRAAIFONTEIN,DE NOVA,10911.5207744461
703,WALLACEDENE,DURBANVILLE,11276.8547354752
704,OCEAN VIEW,MURDOCK VALLEY,24252.5676466351
705,OCEAN VIEW,NOORDHOEK,16273.6818613289
706,DELFT SOUTH,PAROW,21704.2275704216
707,DELFT SOUTH,PAROW,21455.6492536621
708,PENTECH STATION,DELFT SOUTH,12739.7603972032
709,UNIBELL,ELSIES RIVER,34780.4403236812
710,KHAYELITSHA,DELFT,9351.03245139479
711,KHAYELITSHA,WESBANK,13679.925851414
712,HEIDEVELD,CAPE TOWN,17950.419169588
